"zscore" "zscore"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS" -0.221930024320651 -0.221930024320651
"KEGG_CITRATE_CYCLE_TCA_CYCLE" -0.100400299626237 -0.100400299626237
"KEGG_PENTOSE_PHOSPHATE_PATHWAY" -0.178818244650972 -0.178818244650972
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS" 0.0185171910250964 0.0185171910250964
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM" -0.245383579999604 -0.245383579999604
"KEGG_GALACTOSE_METABOLISM" -0.366820200424894 -0.366820200424894
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM" -0.18164916363585 -0.18164916363585
"KEGG_FATTY_ACID_METABOLISM" -0.231037569464052 -0.231037569464052
"KEGG_STEROID_BIOSYNTHESIS" -0.0412560494513966 -0.0412560494513966
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS" -0.0157927550743646 -0.0157927550743646
"KEGG_STEROID_HORMONE_BIOSYNTHESIS" -0.140588945398712 -0.140588945398712
"KEGG_OXIDATIVE_PHOSPHORYLATION" 0.366335759920857 0.366335759920857
"KEGG_PURINE_METABOLISM" 0.00686643856298912 0.00686643856298912
"KEGG_PYRIMIDINE_METABOLISM" -0.0735203388574303 -0.0735203388574303
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM" -0.305767526852938 -0.305767526852938
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM" -0.372086924314495 -0.372086924314495
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM" -0.0907449324926635 -0.0907449324926635
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION" -0.227389332404605 -0.227389332404605
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS" -0.0802598380835431 -0.0802598380835431
"KEGG_LYSINE_DEGRADATION" -0.598630663746946 -0.598630663746946
"KEGG_ARGININE_AND_PROLINE_METABOLISM" -0.105495105465173 -0.105495105465173
"KEGG_HISTIDINE_METABOLISM" 0.00762598064450499 0.00762598064450499
"KEGG_TYROSINE_METABOLISM" 0.121025710716874 0.121025710716874
"KEGG_PHENYLALANINE_METABOLISM" 0.0698691899107125 0.0698691899107125
"KEGG_TRYPTOPHAN_METABOLISM" -0.289561594111335 -0.289561594111335
"KEGG_BETA_ALANINE_METABOLISM" -0.273898585559439 -0.273898585559439
"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM" -0.540455845161961 -0.540455845161961
"KEGG_SELENOAMINO_ACID_METABOLISM" -0.0149425996331442 -0.0149425996331442
"KEGG_GLUTATHIONE_METABOLISM" -0.101254226084779 -0.101254226084779
"KEGG_STARCH_AND_SUCROSE_METABOLISM" -0.299466705102973 -0.299466705102973
"KEGG_N_GLYCAN_BIOSYNTHESIS" -0.146416405461145 -0.146416405461145
"KEGG_OTHER_GLYCAN_DEGRADATION" -0.279239668083761 -0.279239668083761
"KEGG_O_GLYCAN_BIOSYNTHESIS" -0.0516409553650254 -0.0516409553650254
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM" -0.116793267398839 -0.116793267398839
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION" -0.593218995655185 -0.593218995655185
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE" -0.0279174583512224 -0.0279174583512224
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE" 0.280076744979267 0.280076744979267
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE" 0.125441354595373 0.125441354595373
"KEGG_GLYCEROLIPID_METABOLISM" -0.273510989937399 -0.273510989937399
"KEGG_INOSITOL_PHOSPHATE_METABOLISM" -0.217811866348613 -0.217811866348613
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS" -0.0659599850518187 -0.0659599850518187
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM" -0.233002476387344 -0.233002476387344
"KEGG_ETHER_LIPID_METABOLISM" -0.230081070388848 -0.230081070388848
"KEGG_ARACHIDONIC_ACID_METABOLISM" 0.0952448439797309 0.0952448439797309
