sample_id	group_label
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR716/abundances.cxb	WT_E14
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR721/abundances.cxb	linc_Sox2_Peril_E14
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR719/abundances.cxb	WT_E14
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR718/abundances.cxb	linc_Sox2_Peril_E14
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR717/abundances.cxb	WT_E14
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR720/abundances.cxb	linc_Sox2_Peril_E14
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR731/abundances.cxb	linc_Brn1b_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR733/abundances.cxb	linc_Egfr_Edon_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR732/abundances.cxb	linc_Cox2_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR734/abundances.cxb	WT_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR728/abundances.cxb	WT_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR730/abundances.cxb	linc_Brn1a_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR729/abundances.cxb	WT_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR735/abundances.cxb	WT_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR736/abundances.cxb	linc_Enc1__Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR739/abundances.cxb	linc_Insig2_Celr_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR742/abundances.cxb	linc_Jarid1c_Kantr_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR741/abundances.cxb	linc_Irx5_Crnde_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR744/abundances.cxb	linc_Sox2_Peril_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR743/abundances.cxb	linc_P21_Trp53cor_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR738/abundances.cxb	linc_HoxA1_Haunt_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR740/abundances.cxb	WT_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR745/abundances.cxb	Tug1_Adult
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR752/abundances.cxb	linc_Enc1_E14
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR746/abundances.cxb	WT_E14
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR750/abundances.cxb	WT_E14
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR749/abundances.cxb	linc_p21_Trp53cor_E14
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR753/abundances.cxb	WT_E14
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR751/abundances.cxb	linc_Evi1_Manr_E14
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR748/abundances.cxb	WT_E14
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR747/abundances.cxb	linc_Jarid1c_kantr_E14
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR755/abundances.cxb	WT_E14
/n/rinn_data1/seq/lgoff/Projects/BrainMap/data/quants/JR754/abundances.cxb	linc_HoxA1_Haunt_E14
